@id,@type,name,@lat,@lon
4565361893,node,,-6.1720830,35.7331538
4565362491,node,Daladala Stand,-6.1826840,35.7527084
4574959898,node,Daladala Stop,-6.1450867,35.8916796
4575983321,node,Daladala Stop,-6.1541478,35.7083024
4575983698,node,,-6.1171888,35.6607554
4665938892,node,Daladala Bus Stop,-6.1592978,35.7135903
4665938893,node,Daladala Bus Stop,-6.1736096,35.7358579
5031976333,node,Wajenzi bus stop,-6.1593517,35.7465333
5032007024,node,Bible bus stop,-6.1307154,35.7466084
5032072726,node,Mipango Bus stop,-6.1227196,35.7463484
5043508688,node,mwisho wa lami bus stop,-6.1320814,35.7466837
5238916022,node,Nkuhungu Kanisa kituo cha Daladala,-6.1526343,35.7252877
5793945911,node,Bus stop,-6.1260471,35.7493883
6087316168,node,,-6.1519740,35.8542198
6087316169,node,,-6.1508433,35.8688915
6087316170,node,,-6.1503099,35.8751678
6118000387,node,,-6.1782383,35.7355079
6118107902,node,Darajani,-6.2013388,35.7427445
6118107903,node,,-6.1999655,35.7431763
6118107904,node,,-6.1955444,35.7410198
6118355983,node,Kwa mwanaidi,-6.2205053,35.7162148
6118361598,node,Chidachi,-6.2162217,35.7250942
6118361615,node,,-6.2128887,35.7311252
6118361616,node,Kwa Bwashee,-6.2113288,35.7328176
6118369303,node,kwa majani,-6.2253529,35.7125857
6118369304,node,kwa majani,-6.2243156,35.7126206
6121969068,node,Milembe,-6.1823217,35.7325853
6122019905,node,,-6.1739996,35.7504760
6122049089,node,,-6.1658290,35.7452859
6290930585,node,Dodoma Train station,-6.1848674,35.7491026
6329083987,node,Abiba,-6.1632937,35.7464130
6329085486,node,Msalato,-6.0939254,35.7487176
6367721891,node,Hice za Mipango,-6.1768733,35.7424947
6367722188,node,Hice za Nkuhungu,-6.1766902,35.7419246
6477895297,node,NJIA PANDA,-6.2099506,35.8026789
6478818129,node,Info 2 Bus Stop,-6.2207400,35.8105257
8741938446,node,SGR_Wela Secondary School Stop,-6.2130023,35.7309948
8741938448,node,Namba one ( Mpunguzi/Bihawana Junction) Stop,-6.2511515,35.6979900
8741938450,node,Maua Stop,-6.2368187,35.7121220
8741938452,node,Mkonze Primary School Stop,-6.2311730,35.7116280
8741938471,node,Makombola Stop,-6.1992221,35.6804161
8741938472,node,Njia Panda Stop,-6.1983692,35.6842525
8741938473,node,Kwa Mnyamwezi Stop,-6.1969617,35.6873385
8741938474,node,Kibaoni Stop,-6.1965045,35.6881808
8741938475,node,Michese Stop,-6.2046911,35.6788218
8741938476,node,Kona Stop,-6.1997412,35.6772745
8741938478,node,Mwanzo wa Lami Stop,-6.1906743,35.7037899
8741938480,node,Tanesco Stop,-6.1851450,35.7019545
8741938482,node,Kona ya Magereza Stop,-6.1732084,35.7199363
8741938483,node,Kwa Majani Stop,-6.2249701,35.7126312
8741938484,node,Mwembeni Stop,-6.2202454,35.7165578
8741938485,node,Chidachi Stop,-6.2161464,35.7250987
8742098149,node,Kona ya Royal Stop,-6.1593449,35.7676160
8742098150,node,Kona ya Msikiti Stop,-6.1623931,35.7686345
8742098151,node,Njia Panda Stop,-6.1733370,35.7663704
8742098152,node,CBE Stop,-6.1771410,35.7593505
8742098153,node,Mangurueni Stop,-6.1453883,35.7817174
8742098154,node,Milango Mitatu Stop,-6.1464977,35.7805265
8742098155,node,Mchikona Stop,-6.1473194,35.7776244
8742098156,node,Mwisho wa Fensi Stop,-6.1473321,35.7745692
8742098157,node,Mnarani Stop,-6.1388788,35.8235401
8742098158,node,Bodaboda Stop,-6.1423011,35.8186188
8742098159,node,Martin Luther Stop,-6.1494436,35.8096006
8742098160,node,Mnarani Stand,-6.1432326,35.7839389
8742098161,node,Mwisho wa Fensi,-6.1518538,35.8067410
8742098162,node,Kwa Masista Stand,-6.1255529,35.8351452
8742098163,node,Kona Stand,-6.1309179,35.8343178
8742098164,node,Darajani Stop,-6.1361134,35.8271165
8742098165,node,Emmaus Ya Pili Stop,-6.1694879,35.7754519
8742098166,node,Mbuyuni Stop,-6.1373653,35.8255029
8742098169,node,Sabato Stop,-6.1677918,35.7797731
